idx	Power	Effect_Size
1	0.1	0.181507
2	0.15	0.254637
3	0.2	0.310347
4	0.25	0.357529
5	0.3	0.399691
6	0.35	0.438681
7	0.4	0.475649
8	0.45	0.511409
9	0.5	0.546605
10	0.55	0.58181
11	0.6	0.617595
12	0.65	0.654598
13	0.7	0.693613
14	0.75	0.735739
15	0.8	0.782676
16	0.85	0.837426
17	0.9	0.906373
18	0.95	1.008684
