idx	Power	Effect_Size
1	0.1	0.16337
2	0.15	0.229159
3	0.2	0.27926
4	0.25	0.32168
5	0.3	0.359579
6	0.35	0.394619
7	0.4	0.427835
8	0.45	0.45996
9	0.5	0.491572
10	0.55	0.523187
11	0.6	0.555317
12	0.65	0.588535
13	0.7	0.623552
14	0.75	0.661353
15	0.8	0.703464
16	0.85	0.752571
17	0.9	0.814394
18	0.95	0.906095
