idx	Power	Effect_Size
1	0.1	0.063646
2	0.15	0.089254
3	0.2	0.108743
4	0.25	0.125236
5	0.3	0.139965
6	0.35	0.153577
7	0.4	0.166477
8	0.45	0.178948
9	0.5	0.191217
10	0.55	0.203482
11	0.6	0.215943
12	0.65	0.228822
13	0.7	0.242394
14	0.75	0.257039
15	0.8	0.273348
16	0.85	0.292357
17	0.9	0.316276
18	0.95	0.351727
