idx	Power	Effect_Size
1	0.1	0.207583
2	0.15	0.291306
3	0.2	0.355128
4	0.25	0.409212
5	0.3	0.457565
6	0.35	0.5023
7	0.4	0.544733
8	0.45	0.585794
9	0.5	0.626223
10	0.55	0.666677
11	0.6	0.707813
12	0.65	0.750364
13	0.7	0.795246
14	0.75	0.843728
15	0.8	0.89777
16	0.85	0.96084
17	0.9	1.040313
18	0.95	1.15834
