idx	Power	Effect_Size
1	0.1	0.050172
2	0.15	0.070357
3	0.2	0.08572
4	0.25	0.098721
5	0.3	0.110331
6	0.35	0.121062
7	0.4	0.13123
8	0.45	0.14106
9	0.5	0.150731
10	0.55	0.160399
11	0.6	0.170221
12	0.65	0.180373
13	0.7	0.191071
14	0.75	0.202615
15	0.8	0.215469
16	0.85	0.230453
17	0.9	0.249306
18	0.95	0.277249
