idx	Power	Effect_Size
1	0.1	0.233065
2	0.15	0.327203
3	0.2	0.399035
4	0.25	0.459955
5	0.3	0.514458
6	0.35	0.564914
7	0.4	0.6128
8	0.45	0.659164
9	0.5	0.704839
10	0.55	0.750565
11	0.6	0.797086
12	0.65	0.845234
13	0.7	0.896046
14	0.75	0.950963
15	0.8	1.01222
16	0.85	1.083758
17	0.9	1.173976
18	0.95	1.308112
