idx	Power	Effect_Size
1	0.1	0.219198
2	0.15	0.307659
3	0.2	0.37512
4	0.25	0.432306
5	0.3	0.483449
6	0.35	0.530776
7	0.4	0.575677
8	0.45	0.619138
9	0.5	0.661938
10	0.55	0.704775
11	0.6	0.748343
12	0.65	0.79342
13	0.7	0.840976
14	0.75	0.892358
15	0.8	0.94965
16	0.85	1.016531
17	0.9	1.100835
18	0.95	1.226096
