idx	Power	Effect_Size
1	0.1	0.27151
2	0.15	0.381537
3	0.2	0.465677
4	0.25	0.537165
5	0.3	0.601222
6	0.35	0.660606
7	0.4	0.717038
8	0.45	0.771744
9	0.5	0.825698
10	0.55	0.879777
11	0.6	0.934858
12	0.65	0.991931
13	0.7	1.052234
14	0.75	1.117491
15	0.8	1.190377
16	0.85	1.275624
17	0.9	1.38332
18	0.95	1.543816
