idx	Power	Effect_Size
1	0.1	0.29995
2	0.15	0.421919
3	0.2	0.515407
4	0.25	0.594987
5	0.3	0.666411
6	0.35	0.732722
7	0.4	0.795823
8	0.45	0.857069
9	0.5	0.917549
10	0.55	0.97824
11	0.6	1.040128
12	0.65	1.104329
13	0.7	1.172245
14	0.75	1.245832
15	0.8	1.32813
16	0.85	1.424526
17	0.9	1.546512
18	0.95	1.728697
