idx	Power	Effect_Size
1	0.1	0.250038
2	0.15	0.35116
3	0.2	0.428387
4	0.25	0.493929
5	0.3	0.552602
6	0.35	0.606948
7	0.4	0.658552
8	0.45	0.708539
9	0.5	0.757805
10	0.55	0.80715
11	0.6	0.857375
12	0.65	0.909378
13	0.7	0.964286
14	0.75	1.023659
15	0.8	1.08992
16	0.85	1.167348
17	0.9	1.265063
18	0.95	1.410482
