idx	Power	Effect_Size
1	0.1	0.189098
2	0.15	0.253516
3	0.2	0.298984
4	0.25	0.335639
5	0.3	0.367254
6	0.35	0.395706
7	0.4	0.422099
8	0.45	0.447168
9	0.5	0.471459
10	0.55	0.495425
11	0.6	0.519487
12	0.65	0.544087
13	0.7	0.569752
14	0.75	0.597185
15	0.8	0.62745
16	0.85	0.662401
17	0.9	0.705948
18	0.95	0.769762
