idx	Power	Effect_Size
1	0.1	0.034379
2	0.15	0.04821
3	0.2	0.058737
4	0.25	0.067646
5	0.3	0.075601
6	0.35	0.082954
7	0.4	0.089921
8	0.45	0.096657
9	0.5	0.103283
10	0.55	0.109908
11	0.6	0.116638
12	0.65	0.123594
13	0.7	0.130924
14	0.75	0.138834
15	0.8	0.147642
16	0.85	0.157909
17	0.9	0.170827
18	0.95	0.189973
