idx	Power	Effect_Size
1	0.1	0.047444
2	0.15	0.066532
3	0.2	0.081059
4	0.25	0.093353
5	0.3	0.104332
6	0.35	0.114479
7	0.4	0.124094
8	0.45	0.13339
9	0.5	0.142535
10	0.55	0.151677
11	0.6	0.160965
12	0.65	0.170565
13	0.7	0.180681
14	0.75	0.191597
15	0.8	0.203753
16	0.85	0.217921
17	0.9	0.235749
18	0.95	0.262172
