idx	Power	Effect_Size
1	0.1	0.1498
2	0.15	0.210109
3	0.2	0.256027
4	0.25	0.2949
5	0.3	0.329625
6	0.35	0.361727
7	0.4	0.392155
8	0.45	0.42158
9	0.5	0.450533
10	0.55	0.479485
11	0.6	0.508907
12	0.65	0.53932
13	0.7	0.571378
14	0.75	0.605982
15	0.8	0.644525
16	0.85	0.689466
17	0.9	0.746035
18	0.95	0.829923
