idx	Power	Effect_Size
1	0.1	0.403981
2	0.15	0.571792
3	0.2	0.702302
4	0.25	0.814733
5	0.3	0.91669
6	0.35	1.012218
7	0.4	1.103882
8	0.45	1.193544
9	0.5	1.282729
10	0.55	1.372849
11	0.6	1.465364
12	0.65	1.561968
13	0.7	1.664825
14	0.75	1.777001
15	0.8	1.903296
16	0.85	2.052265
17	0.9	2.242235
18	0.95	2.528577
