idx	Power	Effect_Size
1	0.1	0.17507
2	0.15	0.234686
3	0.2	0.276756
4	0.25	0.310666
5	0.3	0.339909
6	0.35	0.366223
7	0.4	0.390631
8	0.45	0.413811
9	0.5	0.43627
10	0.55	0.458426
11	0.6	0.480668
12	0.65	0.503407
13	0.7	0.527126
14	0.75	0.552477
15	0.8	0.580442
16	0.85	0.612732
17	0.9	0.652957
18	0.95	0.711892
