ROI	structure_id	Structure	GN_Symbol	ARA_abbrev	ontology_volume	centroid_PA	ontology_level	ontology_order_GN_Symbol	ontology_most_child	length_of_bar	start_of_bar	L_Vertex	R_Vertex
149	154	PHG__Perihypoglossal_nuclei_left	PHG-L	PHY	0.165277125	-5.06701721426967	6	MYM-B-MYA-B-HBR-B-BRS-B-GRY-B-BRN-B	1	1	36	149	329
153	136	IRN__Intermediate_reticular_nucleus_medullary_left	IRN-L	IRN	1.586516625	-5.00136926984613	6	MYM-B-MYA-B-HBR-B-BRS-B-GRY-B-BRN-B	1	1	37	153	333
146	225	MVN__Spinal_vestibular_nucleus_(medial_vestibular_nucleus)_left	MVN-L	SPIV	0.402586875	-5.0711664500985	7	VES-B-MYM-B-MYA-B-HBR-B-BRS-B-GRY-B-BRN-B	1	1	38	146	326
145	-165021	VES__Vestibular_nuclei_uncharted_left		VNC	1.323955125	-4.57928912290362	7	VES-B-MYM-B-MYA-B-HBR-B-BRS-B-GRY-B-BRN-B	1	1	39	145	325
126	661	cn7__Facial_motor_nucleus_cranial_nerve_VII_left	cn7-L	VII	0.414743625	-4.09846135067175	6	MYM-B-MYA-B-HBR-B-BRS-B-GRY-B-BRN-B	1	1	40	126	306
154	379	MRB__Medulla_raphe_behavioral_state_related_left	MRB-L	MY-sat	0.09381825	-4.22447064537017	5	MYA-B-HBR-B-BRS-B-GRY-B-BRN-B	1	1	41	154	334
128	162	LTG__Laterodorsal_tegmental_nucleus_left	LTG-L	LDT	0.105141375	-3.57662729111161	6	PNB-B-PON-B-HBR-B-BRS-B-GRY-B-BRN-B	1	1	42	128	308
121	867	PBN__Parabrachial_nucleus_left	PBN-L	PB	0.690244875	-3.65177400900659	6	PNS-B-PON-B-HBR-B-BRS-B-GRY-B-BRN-B	1	1	43	121	301
122	7	PSV__Principal_sensory_nucleus_of_the_trigeminal_left	PSV-L	PSV	0.380102625	-3.4774237500333	6	PNS-B-PON-B-HBR-B-BRS-B-GRY-B-BRN-B	1	1	44	122	302
120	398	SOC__Superior_olivary_complex_left	SOC-L	SOC	0.360072	-3.10605307063587	6	PNS-B-PON-B-HBR-B-BRS-B-GRY-B-BRN-B	1	1	45	120	300
